DR,A%,DF%,1stIn,1st%,2nd%
0.58,0.0%,0.0%,61.0%,68.0%,43.8%
1.20,4.9%,3.7%,61.7%,74.0%,58.1%
0.50,5.0%,0.0%,85.0%,52.9%,0.0%
1.39,7.0%,3.5%,77.2%,77.3%,38.5%
0.58,0.0%,0.0%,62.5%,54.3%,57.1%
1.14,1.9%,2.9%,63.1%,69.2%,50.0%
1.85,12.9%,3.2%,61.3%,94.7%,50.0%
1.22,1.5%,3.0%,56.7%,68.4%,34.5%
0.79,2.1%,4.3%,61.7%,58.6%,44.4%
1.01,1.6%,4.7%,67.2%,64.0%,47.6%
0.92,3.9%,2.0%,59.8%,67.2%,46.3%
0.59,4.2%,0.0%,64.6%,61.3%,41.2%
0.67,0.0%,3.9%,66.7%,47.7%,41.9%
1.33,12.1%,2.1%,72.1%,81.2%,56.4%
0.77,5.3%,1.3%,64.0%,58.3%,51.9%
0.88,13.6%,0.0%,59.1%,76.9%,77.8%
1.24,5.3%,1.3%,73.3%,78.2%,45.0%
1.17,1.1%,1.1%,68.9%,69.4%,60.7%
1.76,8.0%,0.0%,70.0%,82.9%,60.0%
