DR,A%,DF%,1stIn,1st%,2nd%
0.83,3.3%,2.2%,64.4%,60.3%,40.6%
0.94,2.7%,1.4%,72.6%,58.5%,60.0%
0.96,12.5%,1.6%,57.8%,75.7%,55.6%
0.87,8.5%,3.8%,50.9%,63.0%,46.2%
3.74,7.3%,2.4%,61.0%,92.0%,81.3%
1.28,2.6%,2.6%,58.4%,73.3%,62.5%
0.56,1.4%,1.4%,60.9%,69.0%,48.1%
1.27,9.2%,5.1%,59.2%,75.9%,52.5%
0.71,3.9%,5.3%,47.4%,72.2%,60.0%
1.25,11.3%,5.0%,56.3%,75.6%,51.4%
1.57,1.8%,0.0%,60.0%,72.7%,63.6%
1.26,11.9%,1.0%,59.4%,80.0%,61.0%
1.52,8.0%,2.0%,64.0%,75.0%,55.6%
1.24,5.1%,6.4%,44.9%,80.0%,46.5%
1.92,11.1%,3.7%,48.1%,92.3%,60.7%
1.36,9.8%,6.6%,55.7%,88.2%,37.0%
1.67,9.8%,4.9%,50.8%,80.6%,66.7%
1.69,6.9%,3.4%,48.3%,82.1%,66.7%
1.37,12.3%,2.7%,50.7%,86.5%,55.6%
0.75,7.1%,7.1%,50.0%,65.7%,40.0%
2.28,10.2%,0.0%,65.3%,81.3%,76.5%
1.81,6.1%,2.0%,57.1%,85.7%,66.7%
1.43,12.1%,8.6%,44.8%,96.2%,43.8%
