DR,A%,DF%,1stIn,1st%,2nd%
0.80,3.6%,3.6%,50.9%,60.7%,37.0%
1.44,6.5%,3.9%,51.9%,72.5%,59.5%
0.87,4.1%,4.1%,62.9%,65.6%,52.8%
1.24,3.4%,3.4%,42.4%,76.0%,55.9%
0.50,2.2%,3.3%,58.7%,74.1%,42.1%
1.05,3.5%,7.0%,59.6%,64.7%,30.4%
1.21,7.8%,2.6%,62.3%,72.9%,55.2%
0.86,9.1%,7.8%,54.5%,71.4%,48.6%
0.88,3.8%,2.5%,56.3%,60.0%,42.9%
1.71,10.3%,5.2%,56.9%,84.8%,52.0%
1.33,6.6%,8.2%,60.7%,73.0%,45.8%
2.68,5.1%,5.1%,64.1%,84.0%,71.4%
1.34,7.4%,2.9%,51.5%,80.0%,60.6%
1.12,2.8%,5.6%,62.5%,62.2%,55.6%
1.93,4.2%,4.2%,56.3%,77.8%,66.7%
1.43,4.8%,1.6%,66.1%,78.0%,57.1%
1.53,6.9%,1.7%,60.3%,71.4%,60.9%
1.11,4.0%,8.1%,49.5%,65.3%,48.0%
1.63,2.0%,2.0%,46.0%,82.6%,59.3%
1.63,12.3%,8.8%,54.4%,90.3%,53.8%
