DR,A%,DF%,1stIn,1st%,2nd%
0.75,1.4%,4.2%,50.0%,58.3%,52.8%
1.60,1.8%,0.0%,61.8%,70.6%,57.1%
2.31,2.4%,4.9%,61.0%,84.0%,75.0%
2.56,15.2%,2.2%,73.9%,82.4%,75.0%
0.57,4.0%,6.0%,62.0%,58.1%,36.8%
1.54,7.8%,3.9%,67.5%,75.0%,68.0%
1.25,5.5%,3.6%,65.5%,75.0%,47.4%
1.32,2.2%,2.2%,55.6%,64.0%,55.0%
0.65,5.1%,7.7%,62.8%,61.2%,34.5%
1.21,3.0%,3.0%,62.1%,73.2%,60.0%
0.67,0.0%,3.8%,60.3%,63.8%,45.2%
0.98,3.2%,8.5%,56.4%,69.8%,46.3%
1.23,4.8%,3.6%,60.2%,72.0%,57.6%
1.06,7.3%,5.5%,50.5%,76.4%,55.6%
1.80,23.6%,5.5%,70.9%,84.6%,43.8%
1.30,7.6%,4.5%,63.6%,73.8%,45.8%
0.78,1.9%,2.8%,57.0%,72.1%,50.0%
1.71,11.1%,0.0%,68.3%,86.0%,65.0%
1.34,9.0%,3.8%,61.5%,75.0%,60.0%
2.12,17.4%,2.2%,60.9%,96.4%,55.6%
2.03,8.0%,4.0%,64.0%,84.4%,66.7%
1.42,13.2%,1.9%,67.9%,88.9%,52.9%
