DR,A%,DF%,1stIn,1st%,2nd%
0.84,6.9%,0.0%,69.0%,67.5%,27.8%
1.16,1.8%,1.8%,59.5%,60.6%,62.2%
1.06,1.7%,5.0%,66.1%,60.0%,53.7%
0.59,9.4%,12.5%,40.6%,76.9%,21.1%
1.74,8.3%,10.4%,58.3%,71.4%,60.0%
0.95,14.9%,2.1%,59.6%,67.9%,47.4%
0.80,11.0%,5.9%,55.1%,72.3%,54.7%
1.41,11.1%,14.3%,47.6%,90.0%,42.4%
0.98,11.7%,6.5%,59.7%,82.6%,51.6%
1.86,7.7%,1.5%,58.5%,76.3%,85.2%
1.04,15.0%,4.6%,67.1%,72.4%,52.6%
1.21,17.0%,3.4%,62.5%,74.5%,54.5%
2.87,27.1%,0.0%,68.8%,84.8%,80.0%
3.23,28.9%,2.6%,71.1%,88.9%,72.7%
0.80,6.8%,5.7%,67.0%,78.0%,55.2%
1.02,11.8%,2.6%,73.7%,66.1%,75.0%
1.88,19.4%,1.6%,62.9%,84.6%,73.9%
1.41,8.1%,4.8%,62.9%,71.8%,52.2%
1.00,17.3%,4.1%,54.1%,81.1%,53.3%
1.39,8.5%,2.8%,69.0%,73.5%,68.2%
