DR,A%,DF%,1stIn,1st%,2nd%
0.74,3.1%,6.3%,57.8%,62.2%,44.4%
1.29,0.0%,8.2%,49.3%,80.6%,59.5%
0.92,0.9%,6.4%,54.1%,61.0%,56.0%
1.05,5.2%,3.1%,49.0%,70.2%,55.1%
0.65,0.0%,4.8%,61.9%,61.5%,54.2%
1.54,2.0%,2.0%,58.0%,75.9%,47.6%
1.23,4.1%,5.4%,54.1%,75.0%,50.0%
0.54,1.8%,3.5%,64.9%,67.6%,30.0%
0.87,9.3%,2.8%,62.0%,70.1%,53.7%
0.77,1.1%,8.0%,56.3%,61.2%,52.6%
0.76,3.6%,3.6%,61.4%,54.9%,37.5%
1.24,6.9%,0.0%,69.0%,70.0%,61.1%
1.29,3.3%,1.6%,70.5%,67.4%,44.4%
1.10,1.3%,2.6%,60.5%,65.2%,46.7%
1.63,5.2%,5.2%,62.1%,80.6%,45.5%
0.99,2.8%,3.7%,71.6%,66.7%,58.1%
1.12,7.7%,7.7%,61.5%,67.5%,48.0%
0.57,3.9%,6.9%,56.9%,74.1%,31.8%
1.24,0.9%,4.7%,52.3%,73.2%,54.9%
0.94,3.5%,2.0%,70.6%,60.6%,44.1%
1.03,4.2%,9.5%,60.7%,72.5%,43.9%
1.49,13.0%,9.3%,51.9%,89.3%,61.5%
2.13,31.4%,3.9%,72.5%,86.5%,57.1%
1.18,2.0%,9.2%,51.0%,70.0%,50.0%
