DR,A%,DF%,1stIn,1st%,2nd%
0.75,0.0%,3.0%,62.1%,61.0%,32.0%
0.81,1.2%,4.7%,65.1%,53.6%,36.7%
1.65,0.0%,2.1%,53.2%,80.0%,54.5%
1.01,0.0%,2.9%,62.3%,60.5%,57.7%
1.91,10.2%,6.1%,61.2%,90.0%,42.1%
1.50,0.0%,3.9%,56.9%,62.1%,68.2%
2.13,0.0%,4.4%,71.1%,84.4%,53.8%
0.72,1.7%,1.7%,60.3%,60.0%,43.5%
1.66,0.0%,0.0%,62.5%,71.4%,61.9%
0.95,2.1%,0.0%,66.7%,59.4%,46.9%
0.97,1.4%,5.4%,56.8%,61.9%,59.4%
1.05,1.2%,1.2%,60.5%,63.5%,73.5%
1.52,1.9%,0.0%,63.0%,64.7%,75.0%
0.72,3.8%,1.0%,72.1%,60.0%,62.1%
1.08,0.0%,0.9%,68.8%,68.8%,51.4%
1.15,3.2%,3.2%,75.8%,66.0%,40.0%
1.12,2.9%,2.9%,69.9%,69.4%,51.6%
0.87,4.5%,2.7%,66.4%,60.3%,54.1%
1.85,10.0%,6.0%,70.0%,77.1%,60.0%
