DR,A%,DF%,1stIn,1st%,2nd%
0.92,2.9%,1.0%,69.9%,54.2%,58.1%
1.10,2.2%,8.9%,71.1%,65.6%,34.6%
1.25,10.4%,8.3%,64.6%,75.8%,41.2%
1.16,4.7%,4.7%,68.2%,72.4%,48.1%
1.72,2.0%,5.9%,68.6%,82.9%,50.0%
0.61,1.4%,5.8%,65.2%,62.2%,20.8%
1.20,11.4%,5.7%,71.6%,73.0%,24.0%
0.70,0.0%,5.3%,74.7%,58.9%,36.8%
1.18,0.0%,2.6%,70.1%,68.5%,30.4%
1.19,2.5%,8.8%,60.0%,75.0%,50.0%
1.37,7.9%,7.9%,57.9%,72.7%,53.1%
1.25,3.0%,4.5%,74.6%,56.0%,58.8%
0.72,3.0%,4.5%,79.1%,62.3%,50.0%
2.81,2.3%,2.3%,52.3%,91.3%,76.2%
0.48,7.7%,1.5%,67.7%,56.8%,28.6%
0.84,1.7%,4.2%,66.4%,64.6%,42.5%
1.27,4.7%,3.5%,75.6%,76.9%,47.6%
1.09,4.2%,1.7%,71.4%,72.9%,47.1%
0.86,0.0%,2.6%,67.5%,65.4%,52.0%
1.29,4.8%,1.6%,67.7%,73.8%,65.0%
1.27,1.7%,3.3%,63.3%,71.1%,59.1%
