DR,A%,DF%,1stIn,1st%,2nd%
0.74,5.3%,5.3%,50.9%,69.0%,25.0%
0.87,10.6%,1.8%,70.8%,67.5%,45.5%
0.73,6.9%,1.4%,58.3%,71.4%,40.0%
0.85,5.6%,4.2%,60.6%,65.1%,35.7%
0.85,11.1%,5.6%,61.1%,63.6%,28.6%
0.65,26.8%,4.2%,64.8%,78.3%,32.0%
0.63,2.0%,4.1%,59.2%,41.4%,20.0%
1.16,10.3%,3.7%,55.1%,64.4%,52.1%
0.98,18.1%,1.8%,73.1%,78.4%,56.5%
1.11,22.5%,4.0%,61.6%,87.1%,41.4%
1.26,17.7%,1.8%,61.9%,81.4%,53.5%
0.96,32.1%,3.8%,62.8%,85.7%,55.2%
2.56,20.5%,5.1%,56.4%,95.5%,64.7%
0.75,10.0%,4.0%,56.0%,53.6%,54.5%
0.97,20.0%,0.0%,62.7%,78.7%,50.0%
2.30,28.3%,4.3%,56.5%,88.5%,70.0%
1.06,11.5%,2.3%,56.3%,65.3%,60.5%
0.95,24.0%,1.0%,77.0%,70.1%,69.6%
