DR,A%,DF%,1stIn,1st%,2nd%
1.40,6.9%,0.0%,60.3%,77.1%,69.6%
1.29,7.7%,1.9%,75.0%,82.1%,46.2%
1.75,1.9%,1.9%,69.8%,81.1%,56.3%
0.81,4.1%,2.7%,72.6%,69.8%,50.0%
1.53,7.0%,0.0%,63.2%,77.8%,52.4%
1.81,6.3%,2.1%,68.8%,78.8%,73.3%
1.17,5.0%,0.0%,76.3%,77.0%,42.1%
1.43,1.7%,1.7%,70.7%,70.7%,70.6%
0.72,4.4%,1.5%,63.2%,48.8%,52.0%
0.90,2.2%,1.1%,66.7%,59.7%,38.7%
1.02,1.0%,1.0%,73.5%,62.7%,55.6%
1.70,0.0%,2.0%,74.0%,73.0%,76.9%
1.24,3.9%,0.0%,69.7%,60.4%,69.6%
1.19,1.1%,1.1%,76.7%,71.0%,52.4%
0.57,1.8%,5.4%,69.6%,51.3%,35.3%
1.13,1.1%,1.1%,64.5%,66.7%,60.6%
0.95,3.3%,2.5%,65.8%,67.1%,61.0%
1.03,6.7%,3.3%,60.0%,70.4%,52.8%
1.12,4.7%,3.7%,63.6%,67.6%,43.6%
