DR,A%,DF%,1stIn,1st%,2nd%
0.75,1.8%,7.0%,57.9%,54.5%,37.5%
0.31,1.9%,9.6%,57.7%,63.3%,36.4%
1.02,1.1%,4.5%,65.9%,74.1%,50.0%
0.89,8.0%,4.6%,60.9%,77.4%,35.3%
0.93,3.4%,2.3%,62.5%,61.8%,42.4%
0.58,11.5%,0.0%,75.9%,69.7%,33.3%
1.37,2.8%,7.0%,53.5%,86.8%,54.5%
0.84,1.5%,2.9%,63.2%,51.2%,28.0%
0.58,1.5%,1.5%,62.7%,71.4%,48.0%
0.75,12.5%,1.6%,62.5%,67.5%,58.3%
1.10,8.9%,0.0%,69.6%,72.7%,54.2%
0.71,3.1%,2.0%,59.2%,65.5%,45.0%
0.84,2.0%,0.7%,66.0%,71.3%,51.9%
1.75,21.1%,2.1%,66.3%,90.5%,43.8%
1.33,11.5%,2.3%,62.3%,85.2%,53.1%
1.29,8.6%,2.1%,66.4%,77.4%,57.4%
1.01,9.1%,4.5%,62.1%,84.1%,54.0%
