DR,A%,DF%,1stIn,1st%,2nd%
0.76,2.2%,3.3%,58.9%,67.9%,35.1%
1.39,1.8%,8.9%,48.2%,74.1%,65.5%
0.75,6.9%,5.2%,48.3%,67.9%,46.7%
1.30,9.0%,5.1%,48.7%,76.3%,52.5%
1.96,2.3%,0.0%,56.8%,84.0%,68.4%
0.75,6.3%,9.4%,59.4%,68.4%,46.2%
1.29,5.6%,3.7%,63.0%,79.4%,60.0%
0.83,1.9%,9.4%,49.1%,42.3%,55.6%
0.54,0.0%,2.1%,68.8%,54.5%,33.3%
0.79,7.7%,1.1%,62.6%,70.2%,41.2%
0.82,1.8%,1.8%,52.7%,51.7%,34.6%
0.43,2.1%,4.2%,47.9%,60.9%,32.0%
1.24,2.4%,1.2%,55.4%,80.4%,62.2%
1.19,6.8%,2.7%,61.6%,73.3%,53.6%
0.97,1.8%,5.4%,50.5%,67.9%,45.5%
0.71,8.0%,6.7%,57.3%,60.5%,53.1%
1.54,4.6%,4.6%,47.7%,71.0%,79.4%
