DR,A%,DF%,1stIn,1st%,2nd%
1.42,3.7%,5.6%,68.5%,70.3%,47.1%
1.70,2.6%,2.6%,71.8%,71.4%,54.5%
0.86,3.0%,3.0%,80.3%,62.3%,38.5%
0.84,1.1%,3.4%,60.2%,64.2%,48.6%
0.93,3.2%,1.6%,69.4%,60.5%,52.6%
0.92,2.2%,10.9%,67.4%,56.5%,36.7%
1.03,4.1%,4.1%,77.3%,69.3%,31.8%
1.23,0.0%,4.9%,70.4%,66.7%,50.0%
0.90,0.9%,3.5%,77.2%,55.7%,46.2%
1.22,2.2%,5.6%,64.4%,70.7%,37.5%
1.68,3.9%,3.9%,60.8%,80.6%,60.0%
1.38,6.7%,2.2%,62.2%,73.2%,67.6%
2.06,17.1%,4.9%,75.6%,80.6%,50.0%
1.26,9.1%,10.6%,59.1%,76.9%,40.7%
0.71,4.2%,7.0%,66.2%,59.6%,41.7%
0.96,10.0%,6.0%,65.0%,78.5%,40.0%
0.95,11.2%,1.7%,70.7%,61.0%,47.1%
2.23,6.9%,1.7%,69.0%,90.0%,66.7%
