DR,A%,DF%,1stIn,1st%,2nd%
0.78,6.9%,1.7%,58.6%,70.6%,50.0%
0.91,15.2%,3.8%,62.9%,63.6%,51.3%
1.15,6.2%,1.2%,71.6%,70.7%,60.9%
1.49,3.3%,0.0%,57.4%,77.1%,80.8%
0.90,11.1%,2.8%,54.9%,69.6%,46.2%
0.80,8.7%,7.2%,49.3%,91.2%,31.4%
0.63,2.7%,6.2%,54.9%,72.6%,41.2%
0.58,15.9%,9.5%,58.7%,75.7%,34.6%
1.00,16.0%,3.0%,54.0%,74.1%,60.9%
0.48,1.7%,5.0%,46.7%,57.1%,53.1%
1.17,10.3%,3.8%,56.4%,75.0%,52.9%
1.39,10.1%,2.9%,62.3%,81.4%,46.2%
1.22,10.0%,3.3%,60.0%,77.8%,41.7%
1.28,7.4%,4.4%,50.0%,79.4%,58.8%
1.22,6.7%,5.0%,60.0%,75.0%,66.7%
1.74,15.7%,0.0%,74.5%,84.2%,53.8%
1.28,14.1%,5.4%,60.9%,76.8%,38.9%
1.38,15.8%,1.0%,62.4%,84.1%,52.6%
1.68,15.4%,3.8%,63.5%,84.8%,57.9%
0.85,9.0%,6.0%,59.7%,70.0%,48.1%
1.24,8.3%,5.6%,68.1%,77.6%,30.4%
1.42,10.0%,5.0%,58.3%,74.3%,64.0%
1.78,16.7%,2.1%,58.3%,82.1%,65.0%
2.33,24.4%,2.2%,60.0%,77.8%,77.8%
