DR,A%,DF%,1stIn,1st%,2nd%
0.69,3.8%,1.9%,56.6%,60.0%,39.1%
1.22,10.8%,4.6%,55.4%,72.2%,69.0%
0.45,3.1%,1.6%,53.1%,58.8%,40.0%
0.39,6.6%,4.9%,60.7%,64.9%,50.0%
1.79,10.4%,0.0%,60.4%,79.3%,78.9%
0.74,1.8%,7.3%,67.3%,62.2%,50.0%
1.05,6.1%,2.0%,54.1%,77.4%,48.9%
1.26,14.6%,2.4%,67.1%,76.4%,70.4%
0.98,3.6%,3.6%,61.4%,72.5%,65.6%
1.67,8.6%,1.7%,50.0%,79.3%,55.2%
1.26,6.6%,2.6%,56.6%,67.4%,57.6%
1.08,1.4%,1.4%,59.7%,69.8%,48.3%
1.13,2.7%,5.5%,56.2%,73.2%,59.4%
0.97,8.4%,1.1%,52.6%,74.0%,60.0%
0.99,5.3%,2.1%,66.0%,51.6%,46.9%
1.44,10.3%,5.2%,48.3%,78.6%,60.0%
2.90,7.9%,7.9%,50.0%,89.5%,63.2%
1.48,1.7%,8.3%,43.3%,84.6%,50.0%
0.72,10.6%,0.0%,62.1%,65.9%,56.0%
2.40,14.0%,2.3%,72.1%,96.8%,50.0%
