DR,A%,DF%,1stIn,1st%,2nd%
0.82,5.3%,9.2%,67.1%,62.7%,32.0%
1.14,2.4%,10.8%,51.8%,74.4%,32.5%
1.39,6.8%,8.5%,55.9%,72.7%,53.8%
0.81,2.7%,6.3%,64.0%,71.8%,42.5%
1.29,3.8%,6.3%,60.8%,79.2%,51.6%
0.73,0.0%,0.0%,72.4%,52.4%,56.3%
0.77,1.7%,10.0%,61.7%,56.8%,13.0%
0.89,4.0%,6.7%,62.7%,70.2%,35.7%
1.02,11.3%,1.0%,76.3%,78.4%,34.8%
0.89,1.6%,6.3%,55.9%,54.9%,44.6%
0.71,15.8%,5.3%,68.4%,66.7%,44.4%
1.37,10.0%,1.7%,65.0%,84.6%,33.3%
1.57,6.9%,3.4%,70.7%,80.5%,47.1%
1.35,7.5%,3.8%,64.2%,85.3%,52.6%
1.39,9.3%,2.3%,66.3%,75.4%,62.1%
1.51,13.4%,3.0%,59.7%,82.5%,51.9%
