DR,A%,DF%,1stIn,1st%,2nd%
1.36,10.9%,2.2%,78.3%,69.4%,60.0%
0.52,2.2%,0.0%,71.1%,43.8%,46.2%
0.43,8.2%,1.6%,67.2%,63.4%,45.0%
1.38,4.8%,2.4%,63.1%,79.2%,67.7%
0.81,8.3%,2.4%,71.4%,65.0%,54.2%
2.52,2.4%,0.0%,80.5%,87.9%,50.0%
1.43,11.7%,2.6%,76.6%,76.3%,50.0%
0.80,1.7%,1.7%,67.8%,57.3%,48.7%
1.06,2.5%,1.3%,56.3%,53.3%,62.9%
1.11,2.6%,1.3%,55.8%,67.4%,64.7%
1.32,15.2%,7.6%,65.2%,74.4%,39.1%
1.16,6.8%,5.5%,56.2%,65.9%,46.9%
1.27,7.0%,2.8%,62.0%,70.5%,51.9%
1.58,4.2%,8.3%,58.3%,78.6%,50.0%
0.85,3.4%,4.5%,64.0%,54.4%,40.6%
1.09,3.6%,0.9%,71.2%,70.9%,40.6%
0.85,3.3%,3.3%,75.4%,67.4%,53.3%
1.00,5.6%,0.9%,65.7%,62.0%,54.1%
0.63,2.2%,6.7%,71.1%,46.9%,30.8%
0.97,11.6%,4.7%,52.3%,75.6%,56.1%
1.19,8.1%,0.0%,62.6%,82.3%,45.9%
1.19,4.1%,5.5%,57.5%,78.6%,35.5%
0.87,10.0%,7.0%,64.0%,70.3%,41.7%
1.08,21.9%,1.6%,67.2%,76.7%,38.1%
1.74,7.4%,1.9%,74.1%,72.5%,64.3%
