DR,A%,DF%,1stIn,1st%,2nd%
0.78,2.7%,1.4%,63.0%,56.5%,40.7%
0.73,5.8%,2.9%,60.6%,69.8%,41.5%
0.89,8.1%,7.1%,48.5%,81.3%,51.0%
1.42,12.6%,8.4%,61.1%,86.2%,45.9%
1.73,5.8%,7.7%,63.5%,81.8%,68.4%
1.28,9.4%,6.3%,59.4%,81.6%,50.0%
1.03,15.4%,3.8%,51.3%,82.5%,50.0%
1.24,13.0%,1.1%,64.1%,81.4%,51.5%
1.16,5.2%,7.8%,58.4%,80.0%,43.8%
2.01,12.5%,4.2%,54.2%,88.5%,68.2%
1.07,11.0%,7.7%,50.5%,73.9%,42.2%
0.91,9.6%,5.3%,57.4%,74.1%,57.5%
1.66,10.5%,12.3%,57.9%,84.8%,62.5%
1.93,22.2%,2.2%,66.7%,83.3%,60.0%
0.83,6.6%,2.6%,59.2%,64.4%,48.4%
1.93,15.6%,4.4%,62.2%,78.6%,70.6%
0.95,13.7%,3.9%,49.0%,80.0%,53.8%
0.95,9.9%,3.7%,49.4%,85.0%,36.6%
1.32,13.4%,3.0%,73.1%,79.6%,50.0%
1.29,6.2%,0.0%,69.2%,75.6%,50.0%
