DR,A%,DF%,1stIn,1st%,2nd%
0.85,9.4%,0.0%,59.4%,60.5%,53.8%
1.12,5.2%,3.9%,57.1%,77.3%,48.5%
1.00,2.4%,1.2%,57.6%,63.3%,75.0%
0.67,3.0%,3.0%,41.8%,50.0%,41.0%
0.73,6.7%,5.7%,60.0%,76.2%,47.6%
0.95,5.8%,3.8%,58.7%,70.5%,46.5%
0.91,6.3%,2.4%,59.5%,72.0%,51.0%
0.49,0.0%,0.0%,45.7%,66.7%,24.0%
0.90,1.1%,0.0%,56.8%,61.1%,61.0%
0.91,9.4%,3.8%,61.3%,73.8%,48.8%
0.82,3.4%,1.1%,56.8%,70.0%,42.1%
1.00,6.3%,1.8%,60.4%,64.2%,63.6%
1.04,3.5%,2.6%,60.9%,74.3%,42.2%
1.25,15.3%,1.4%,62.5%,73.3%,59.3%
0.84,2.4%,0.0%,65.1%,68.5%,34.5%
1.84,21.8%,1.8%,67.3%,81.1%,66.7%
0.83,15.6%,3.9%,72.7%,71.4%,52.4%
2.17,4.5%,2.3%,54.5%,95.8%,65.0%
