DR,A%,DF%,1stIn,1st%,2nd%
0.81,0.0%,1.7%,75.0%,57.8%,53.3%
1.23,3.3%,1.7%,63.3%,68.4%,59.1%
0.85,0.0%,2.7%,65.3%,55.1%,46.2%
1.77,2.0%,4.0%,62.0%,77.4%,68.4%
2.46,11.1%,8.9%,62.2%,92.9%,58.8%
0.85,0.0%,2.1%,79.4%,70.1%,45.0%
1.89,3.8%,1.9%,69.8%,81.1%,75.0%
0.95,0.0%,2.5%,63.0%,56.9%,56.7%
0.92,0.0%,2.5%,65.3%,54.4%,61.9%
0.90,0.0%,3.0%,65.2%,55.8%,39.1%
1.62,2.4%,1.2%,59.5%,72.0%,64.7%
1.65,4.3%,4.3%,56.5%,61.5%,75.0%
0.80,0.9%,1.8%,65.1%,53.5%,42.1%
1.49,1.4%,1.4%,76.4%,72.7%,64.7%
0.73,1.3%,3.8%,48.7%,71.1%,52.5%
0.78,0.0%,0.0%,65.2%,60.0%,56.3%
1.30,6.3%,1.6%,65.6%,73.8%,54.5%
1.07,3.4%,5.7%,70.1%,63.9%,53.8%
1.71,0.0%,4.2%,64.6%,74.2%,58.8%
