DR,A%,DF%,1stIn,1st%,2nd%
0.81,9.7%,7.5%,44.1%,70.7%,53.8%
0.69,5.5%,5.5%,41.8%,69.6%,46.9%
0.84,12.2%,1.1%,60.0%,75.9%,47.2%
1.20,9.0%,1.1%,62.9%,83.9%,54.5%
1.35,11.1%,0.9%,65.7%,81.7%,56.8%
1.44,10.4%,1.3%,54.5%,73.8%,65.7%
1.24,16.4%,10.4%,47.8%,87.5%,42.9%
0.54,5.1%,2.6%,43.6%,58.8%,45.5%
1.17,10.5%,6.6%,53.9%,73.2%,57.1%
0.89,4.8%,1.2%,59.5%,70.0%,52.9%
1.23,6.0%,4.8%,47.0%,71.8%,52.3%
1.15,5.3%,1.8%,61.4%,65.7%,59.1%
1.45,9.1%,1.8%,50.9%,67.9%,63.0%
0.80,0.0%,2.9%,52.9%,61.1%,34.4%
0.93,3.5%,4.7%,64.7%,76.4%,46.7%
0.82,6.1%,1.0%,64.3%,79.4%,45.7%
1.18,3.3%,3.3%,60.0%,68.5%,55.6%
0.72,4.0%,6.7%,65.3%,69.4%,34.6%
0.56,19.5%,2.6%,61.0%,85.1%,40.0%
1.30,16.9%,3.1%,61.5%,77.5%,56.0%
