DR,A%,DF%,1stIn,1st%,2nd%
0.92,3.4%,4.5%,56.8%,58.0%,47.4%
1.75,7.5%,3.8%,66.0%,68.6%,72.2%
1.08,1.1%,4.5%,63.6%,53.6%,46.9%
1.36,4.6%,1.5%,70.8%,76.1%,63.2%
0.76,3.7%,9.2%,61.5%,74.6%,50.0%
2.42,5.1%,2.6%,87.2%,76.5%,60.0%
1.32,3.8%,1.3%,60.0%,75.0%,53.1%
0.83,2.9%,2.9%,68.3%,53.5%,54.5%
1.04,4.8%,9.5%,66.7%,62.9%,40.0%
1.11,4.8%,5.6%,64.3%,71.6%,60.0%
1.41,5.9%,3.9%,56.9%,69.0%,72.7%
0.78,6.3%,5.2%,64.6%,67.7%,52.9%
1.34,12.3%,4.6%,64.6%,83.3%,56.5%
2.00,4.3%,6.4%,66.0%,80.6%,56.3%
1.76,16.7%,2.1%,62.5%,83.3%,66.7%
0.84,2.6%,6.5%,72.7%,57.1%,42.9%
1.10,5.9%,5.0%,66.3%,68.7%,61.8%
1.50,2.0%,3.9%,60.8%,74.2%,55.0%
1.12,4.3%,2.1%,61.7%,63.8%,50.0%
1.36,7.8%,3.1%,70.3%,64.4%,57.9%
