DR,A%,DF%,1stIn,1st%,2nd%
0.81,0.0%,6.4%,57.4%,63.0%,60.0%
1.57,2.1%,2.1%,48.9%,73.9%,58.3%
1.07,6.5%,2.4%,60.5%,66.7%,59.2%
1.13,1.1%,1.1%,62.6%,68.4%,61.8%
0.94,4.3%,2.9%,61.4%,81.4%,33.3%
0.72,0.0%,5.7%,60.4%,62.5%,33.3%
1.80,4.7%,0.0%,67.4%,72.4%,64.3%
1.24,0.0%,1.4%,66.2%,71.4%,36.0%
1.84,2.2%,2.2%,60.9%,78.6%,61.1%
0.87,0.9%,3.8%,65.1%,62.3%,48.6%
1.53,2.0%,2.0%,70.6%,63.9%,80.0%
1.08,3.5%,2.7%,64.6%,67.1%,55.0%
1.19,4.5%,1.5%,65.7%,68.2%,60.9%
1.38,3.6%,9.1%,52.7%,75.9%,50.0%
1.03,5.8%,8.7%,56.5%,66.7%,46.7%
1.40,14.5%,4.3%,66.7%,78.3%,52.2%
4.56,10.7%,0.0%,60.7%,88.2%,81.8%
1.16,3.0%,1.0%,69.3%,67.1%,74.2%
2.51,8.1%,5.4%,64.9%,83.3%,69.2%
1.90,7.1%,0.0%,66.1%,81.1%,68.4%
1.63,5.6%,3.7%,63.0%,70.6%,75.0%
2.78,8.6%,2.9%,60.0%,76.2%,85.7%
