DR,A%,DF%,1stIn,1st%,2nd%
0.78,7.3%,3.6%,63.6%,62.9%,25.0%
0.47,5.3%,1.8%,45.6%,53.8%,48.4%
0.99,7.9%,1.3%,52.6%,70.0%,58.3%
1.25,7.8%,3.9%,54.5%,73.8%,60.0%
1.05,6.8%,0.0%,55.4%,70.7%,51.5%
1.08,13.4%,4.1%,50.5%,73.5%,56.3%
0.82,0.0%,0.0%,62.2%,63.0%,57.1%
0.86,5.3%,3.2%,52.6%,68.0%,46.7%
0.90,8.1%,4.1%,60.8%,64.4%,51.7%
1.32,17.6%,3.3%,54.9%,82.0%,58.5%
0.41,3.6%,8.9%,57.1%,71.9%,37.5%
1.15,0.0%,0.0%,42.9%,56.7%,55.0%
1.01,6.6%,5.7%,57.5%,67.2%,53.3%
1.02,7.0%,1.2%,64.0%,78.2%,61.3%
0.89,6.3%,3.2%,49.2%,64.5%,46.9%
1.76,13.3%,0.0%,56.7%,79.4%,80.8%
1.01,20.2%,1.7%,64.7%,77.9%,40.5%
0.91,4.4%,4.4%,64.4%,77.6%,50.0%
1.63,4.0%,0.0%,62.0%,80.6%,52.6%
1.19,8.1%,6.5%,61.3%,76.3%,62.5%
