DR,A%,DF%,1stIn,1st%,2nd%
0.52,2.3%,2.3%,68.2%,70.0%,42.9%
1.58,9.1%,3.0%,66.7%,77.3%,68.2%
0.76,4.7%,2.3%,69.8%,76.7%,15.4%
1.37,12.4%,1.0%,77.3%,77.3%,63.6%
0.59,4.4%,2.9%,67.6%,67.4%,31.8%
1.02,4.6%,0.0%,64.4%,69.6%,54.8%
1.11,2.9%,5.8%,63.8%,65.9%,36.0%
0.74,13.8%,0.0%,78.0%,75.0%,37.0%
0.99,8.2%,2.4%,57.6%,73.5%,44.4%
1.52,5.4%,1.8%,66.1%,75.7%,63.2%
1.65,14.1%,2.8%,74.6%,81.1%,61.1%
0.43,11.5%,1.9%,71.2%,70.3%,26.7%
1.38,11.1%,1.6%,63.5%,70.0%,73.9%
1.34,7.5%,0.0%,77.5%,79.0%,77.8%
3.11,28.8%,0.0%,67.3%,88.6%,82.4%
1.75,17.0%,3.8%,73.6%,89.7%,35.7%
0.73,14.4%,0.0%,75.7%,66.7%,51.9%
1.54,24.0%,2.1%,75.0%,88.9%,66.7%
1.36,20.6%,1.6%,74.6%,85.1%,50.0%
1.45,15.1%,3.5%,65.1%,85.7%,76.7%
