DR,A%,DF%,1stIn,1st%,2nd%
0.54,2.0%,8.0%,62.0%,58.1%,36.8%
0.93,7.0%,5.6%,57.7%,73.2%,66.7%
0.98,4.7%,5.7%,59.4%,71.4%,48.8%
0.93,3.5%,5.3%,58.8%,62.7%,40.4%
1.23,10.8%,4.9%,54.9%,75.0%,60.9%
1.22,1.2%,4.9%,64.2%,71.2%,51.7%
1.11,0.0%,2.7%,67.3%,65.8%,56.8%
1.22,2.3%,0.0%,71.6%,66.7%,48.0%
1.35,6.2%,3.7%,63.0%,72.5%,53.3%
0.77,3.0%,3.0%,65.7%,59.1%,60.9%
1.03,4.1%,2.7%,61.6%,62.2%,53.6%
1.23,2.5%,6.2%,60.5%,69.4%,56.3%
0.91,5.2%,2.6%,54.5%,54.8%,57.1%
0.75,3.4%,8.6%,46.6%,74.1%,48.4%
1.17,3.9%,7.9%,60.5%,60.9%,53.3%
1.38,8.5%,8.5%,67.8%,75.0%,31.6%
1.51,8.3%,2.1%,66.7%,71.9%,62.5%
0.78,4.0%,8.0%,49.3%,67.6%,39.5%
1.22,5.3%,5.3%,59.6%,79.4%,30.4%
