DR,A%,DF%,1stIn,1st%,2nd%
0.68,6.3%,7.9%,55.6%,68.6%,35.7%
0.62,3.8%,1.9%,63.5%,45.5%,47.4%
0.86,4.2%,2.1%,62.1%,62.7%,47.2%
0.70,3.8%,5.8%,51.9%,59.3%,52.0%
0.50,8.3%,1.7%,66.7%,55.0%,40.0%
1.16,3.9%,2.6%,62.3%,79.2%,34.5%
0.67,10.2%,13.6%,57.6%,76.5%,36.0%
1.71,8.0%,0.0%,56.0%,75.0%,72.7%
1.52,16.1%,5.4%,57.1%,81.3%,62.5%
0.51,9.0%,6.0%,52.2%,80.0%,40.6%
0.72,4.2%,2.8%,65.3%,68.1%,36.0%
0.74,4.8%,4.8%,52.4%,72.7%,25.0%
0.78,5.4%,4.3%,58.7%,74.1%,44.7%
0.30,1.7%,5.0%,53.3%,59.4%,25.0%
3.24,11.9%,0.0%,71.4%,90.0%,75.0%
