DR,A%,DF%,1stIn,1st%,2nd%
0.41,7.5%,4.5%,52.2%,62.9%,43.8%
1.28,8.4%,3.7%,49.5%,73.6%,61.1%
0.43,8.9%,2.2%,46.7%,71.4%,54.2%
1.68,23.1%,4.6%,47.7%,93.5%,58.8%
0.99,7.0%,1.0%,55.0%,70.9%,60.0%
0.36,10.6%,4.8%,53.8%,83.9%,43.8%
0.84,15.2%,2.5%,51.9%,78.0%,44.7%
1.73,17.0%,0.0%,61.7%,82.8%,66.7%
1.44,21.0%,1.2%,59.3%,83.3%,60.6%
0.65,5.2%,3.9%,64.9%,70.0%,33.3%
0.50,6.0%,4.0%,60.0%,73.3%,45.0%
1.39,7.3%,1.2%,67.1%,76.4%,70.4%
1.11,7.2%,2.9%,66.7%,76.1%,56.5%
1.48,9.3%,0.0%,57.4%,87.1%,52.2%
1.38,13.2%,1.3%,67.1%,74.5%,52.0%
1.34,9.2%,6.2%,56.9%,81.1%,60.7%
1.27,18.1%,2.8%,65.3%,74.5%,48.0%
0.81,7.9%,3.2%,57.1%,72.2%,48.1%
1.31,28.8%,0.0%,62.7%,83.8%,54.5%
3.03,23.7%,0.0%,76.3%,89.7%,66.7%
