DR,A%,DF%,1stIn,1st%,2nd%
1.09,6.8%,8.2%,53.4%,61.5%,47.1%
0.96,3.7%,3.7%,58.5%,64.6%,32.4%
1.69,10.0%,4.0%,72.0%,75.0%,64.3%
0.89,6.4%,5.1%,61.5%,68.8%,30.0%
1.41,5.1%,1.7%,71.2%,69.0%,58.8%
0.81,8.2%,6.6%,60.7%,59.5%,29.2%
0.79,13.2%,9.4%,73.6%,74.4%,21.4%
0.79,7.5%,7.5%,60.2%,60.7%,43.2%
1.56,8.7%,6.5%,58.7%,74.1%,52.6%
0.91,12.3%,4.1%,71.2%,67.3%,52.4%
0.99,5.6%,10.3%,61.1%,67.5%,36.7%
0.83,10.1%,7.2%,73.9%,58.8%,50.0%
1.11,6.3%,1.3%,68.8%,67.3%,52.0%
2.47,8.2%,4.1%,59.2%,93.1%,65.0%
1.09,10.8%,2.7%,64.0%,66.2%,55.0%
0.59,11.6%,7.0%,65.1%,57.1%,40.0%
1.10,10.1%,0.0%,64.0%,56.1%,46.9%
1.26,12.5%,3.1%,62.5%,75.0%,62.5%
1.11,2.7%,4.0%,60.0%,64.4%,63.3%
0.82,10.6%,0.0%,56.1%,67.6%,55.2%
1.12,6.1%,3.0%,68.7%,76.5%,51.6%
