DR,A%,DF%,1stIn,1st%,2nd%
1.07,0.0%,1.3%,66.7%,71.2%,57.7%
1.19,2.0%,1.0%,57.0%,64.9%,44.2%
1.29,3.3%,1.6%,68.9%,76.2%,52.6%
0.29,7.8%,1.6%,71.9%,58.7%,44.4%
0.54,11.1%,0.0%,72.2%,61.5%,50.0%
1.35,3.6%,0.0%,69.1%,65.8%,64.7%
1.12,3.3%,3.3%,74.7%,61.8%,43.5%
1.21,4.3%,4.3%,69.9%,70.8%,46.4%
0.76,1.6%,0.0%,76.2%,58.3%,60.0%
1.00,0.7%,2.1%,73.0%,63.1%,42.1%
0.82,4.6%,3.1%,61.5%,62.5%,28.0%
0.91,2.8%,1.4%,62.0%,54.5%,48.1%
1.46,0.0%,0.0%,86.8%,67.4%,42.9%
1.03,3.1%,0.0%,78.5%,64.7%,71.4%
1.65,0.0%,0.0%,64.8%,77.1%,57.9%
0.77,4.7%,0.0%,59.4%,57.9%,61.5%
1.83,4.4%,0.0%,71.1%,78.1%,53.8%
