DR,A%,DF%,1stIn,1st%,2nd%
0.61,4.2%,8.5%,64.8%,60.9%,32.0%
0.75,1.6%,3.2%,61.9%,59.0%,58.3%
1.26,4.4%,0.0%,55.6%,66.0%,60.0%
1.23,1.2%,0.0%,59.3%,75.0%,48.5%
1.49,4.9%,3.3%,55.7%,82.4%,51.9%
0.98,1.3%,1.3%,62.8%,71.4%,55.2%
0.96,4.7%,0.9%,60.7%,70.8%,50.0%
1.10,3.3%,1.7%,64.5%,70.5%,60.5%
0.96,5.4%,3.6%,55.4%,66.1%,52.0%
1.08,4.9%,0.0%,60.5%,73.5%,62.5%
0.96,8.6%,3.7%,59.3%,81.3%,42.4%
0.91,2.4%,1.2%,62.4%,60.4%,59.4%
1.89,5.0%,0.0%,65.0%,76.9%,64.3%
0.91,6.5%,3.2%,59.1%,78.2%,50.0%
0.96,5.1%,0.0%,60.8%,70.8%,38.7%
1.20,9.1%,0.0%,67.0%,67.8%,58.6%
1.12,8.0%,4.0%,62.7%,72.3%,50.0%
1.21,17.6%,0.0%,64.7%,81.8%,54.2%
1.38,5.9%,0.0%,72.5%,86.5%,35.7%
