DR,A%,DF%,1stIn,1st%,2nd%
0.81,9.0%,3.8%,60.3%,70.2%,48.4%
1.36,5.7%,1.4%,72.9%,78.4%,63.2%
0.92,10.2%,4.5%,63.6%,78.6%,28.1%
1.14,3.3%,4.4%,64.8%,71.2%,46.9%
1.16,7.2%,3.6%,64.0%,74.6%,55.0%
0.75,7.4%,4.4%,63.2%,74.4%,36.0%
1.89,8.5%,0.0%,46.8%,95.5%,60.0%
0.72,12.5%,5.8%,58.7%,67.2%,46.5%
0.87,6.3%,4.8%,65.1%,53.7%,54.5%
0.99,2.0%,3.9%,68.6%,67.1%,50.0%
0.99,6.5%,5.6%,52.8%,84.2%,52.9%
1.33,10.2%,2.8%,61.1%,80.3%,69.0%
1.17,13.0%,3.3%,64.1%,72.9%,57.6%
1.13,10.2%,3.1%,62.2%,77.0%,59.5%
0.68,13.3%,4.1%,72.4%,73.2%,48.1%
