DR,A%,DF%,1stIn,1st%,2nd%
1.74,12.8%,4.3%,59.6%,78.6%,63.2%
0.59,2.0%,16.3%,53.1%,65.4%,21.7%
0.99,2.7%,15.5%,40.0%,56.8%,47.0%
0.83,4.5%,6.0%,45.5%,73.8%,47.9%
0.79,0.0%,1.7%,55.2%,56.3%,34.6%
0.88,6.7%,6.7%,50.7%,52.6%,56.8%
0.73,2.7%,9.0%,51.4%,73.7%,51.9%
0.70,2.6%,5.2%,64.9%,70.0%,33.3%
0.66,2.9%,4.4%,55.9%,44.7%,46.7%
1.76,21.6%,3.9%,62.7%,81.3%,68.4%
0.96,13.6%,3.6%,65.5%,75.0%,42.1%
0.80,2.2%,2.2%,49.5%,69.6%,51.1%
1.24,3.7%,3.7%,58.0%,72.3%,61.8%
1.68,0.0%,2.0%,49.0%,75.0%,72.0%
0.90,10.8%,8.8%,57.8%,76.3%,46.5%
