DR,A%,DF%,1stIn,1st%,2nd%
0.96,3.3%,4.4%,59.3%,72.2%,43.2%
0.68,1.6%,4.8%,48.4%,56.7%,56.3%
1.01,5.9%,4.9%,68.6%,67.1%,43.8%
0.73,1.1%,5.6%,55.6%,66.0%,42.5%
1.23,6.8%,5.5%,56.2%,78.0%,53.1%
1.03,3.3%,6.6%,59.3%,74.1%,54.1%
0.91,9.6%,4.8%,67.5%,58.9%,55.6%
0.69,1.7%,3.4%,48.3%,67.9%,33.3%
0.73,4.4%,5.9%,54.4%,78.4%,38.7%
0.70,1.4%,2.7%,63.5%,55.3%,40.7%
1.40,1.8%,5.5%,65.5%,72.2%,52.6%
1.43,13.5%,9.6%,48.1%,72.0%,63.0%
0.68,3.1%,6.2%,55.0%,71.8%,44.8%
1.34,5.1%,0.0%,64.4%,71.1%,81.0%
1.21,5.1%,2.5%,58.2%,80.4%,51.5%
1.06,9.1%,2.0%,66.7%,72.7%,57.6%
1.70,11.8%,0.0%,70.6%,69.4%,73.3%
2.79,2.6%,0.0%,51.3%,95.0%,68.4%
1.09,5.2%,6.9%,56.9%,75.8%,50.0%
