DR,A%,DF%,1stIn,1st%,2nd%
0.95,7.5%,5.7%,62.3%,72.7%,40.0%
0.68,5.4%,3.6%,53.6%,66.7%,42.3%
1.03,9.5%,1.4%,75.7%,76.8%,50.0%
1.83,11.1%,2.2%,86.7%,79.5%,33.3%
1.49,18.6%,0.0%,83.1%,83.7%,60.0%
1.76,2.2%,2.2%,69.6%,75.0%,57.1%
1.44,15.6%,3.1%,76.6%,79.6%,46.7%
2.63,18.4%,2.0%,79.6%,84.6%,80.0%
0.76,0.0%,4.1%,67.1%,63.3%,29.2%
0.74,13.8%,1.5%,69.2%,84.4%,30.0%
0.55,9.3%,0.0%,53.7%,72.4%,60.0%
1.07,3.7%,2.2%,63.2%,62.8%,58.0%
1.45,9.8%,3.3%,58.7%,81.5%,63.2%
1.58,11.4%,5.1%,64.6%,80.4%,53.6%
1.51,12.4%,1.8%,65.5%,75.7%,56.4%
1.47,21.7%,3.8%,67.9%,77.8%,61.8%
0.64,11.0%,1.4%,72.6%,71.7%,60.0%
1.63,9.6%,1.9%,65.4%,76.5%,66.7%
2.09,25.5%,0.0%,66.0%,80.6%,75.0%
0.97,6.9%,0.0%,65.5%,76.3%,60.0%
1.33,9.9%,0.0%,70.4%,78.0%,61.9%
1.47,8.5%,1.2%,63.4%,82.7%,56.7%
1.82,7.8%,2.0%,64.7%,87.9%,50.0%
3.01,7.5%,5.0%,60.0%,83.3%,81.3%
1.35,9.2%,3.9%,68.4%,76.9%,62.5%
