DR,A%,DF%,1stIn,1st%,2nd%
0.89,6.8%,5.7%,64.8%,66.7%,41.9%
0.79,6.8%,2.6%,61.5%,61.1%,42.2%
0.93,6.3%,4.2%,53.5%,75.3%,44.8%
0.61,6.9%,3.4%,55.2%,65.6%,26.9%
1.07,9.4%,1.9%,59.4%,79.4%,65.1%
0.65,0.0%,4.3%,63.0%,41.4%,35.3%
1.12,8.8%,3.5%,59.3%,67.2%,56.5%
1.79,16.2%,0.0%,73.0%,81.5%,40.0%
0.97,5.4%,10.7%,46.4%,76.9%,36.7%
1.28,13.5%,0.0%,71.9%,81.3%,40.0%
0.91,6.1%,6.1%,64.6%,62.3%,51.7%
0.81,2.0%,5.9%,54.9%,71.4%,52.2%
1.44,3.5%,3.5%,63.2%,80.6%,42.9%
1.57,8.3%,3.3%,65.0%,76.9%,57.1%
0.82,3.3%,3.3%,68.3%,63.4%,47.4%
1.27,5.6%,1.9%,72.2%,67.9%,50.0%
0.82,9.6%,3.2%,71.3%,71.6%,40.7%
1.93,9.1%,2.3%,65.9%,75.9%,66.7%
0.45,11.5%,3.8%,76.9%,70.0%,41.7%
1.13,4.3%,0.0%,79.7%,72.7%,35.7%
