DR,A%,DF%,1stIn,1st%,2nd%
0.47,6.4%,5.1%,69.2%,57.4%,37.5%
0.57,1.5%,1.5%,58.5%,65.8%,37.0%
1.13,10.1%,3.8%,49.4%,66.7%,62.5%
1.97,11.9%,2.4%,59.5%,80.0%,70.6%
1.15,3.8%,3.8%,58.5%,69.4%,59.1%
0.97,9.5%,5.4%,48.6%,77.8%,52.6%
0.79,7.5%,1.9%,46.2%,73.5%,52.6%
0.95,5.2%,2.6%,66.4%,64.9%,43.6%
0.79,8.8%,3.5%,57.9%,69.7%,37.5%
1.22,5.3%,6.4%,59.6%,71.4%,60.5%
0.94,1.2%,4.8%,61.4%,74.5%,50.0%
0.69,5.0%,1.7%,55.0%,51.5%,44.4%
0.72,15.7%,2.9%,65.7%,69.6%,50.0%
1.23,2.9%,8.6%,51.4%,72.2%,44.1%
0.88,8.5%,2.8%,74.6%,67.9%,38.9%
0.24,9.8%,2.4%,65.9%,70.4%,35.7%
1.13,2.6%,1.3%,67.1%,72.5%,48.0%
