DR,A%,DF%,1stIn,1st%,2nd%
0.99,1.3%,1.3%,69.3%,59.6%,56.5%
0.86,5.1%,4.0%,64.6%,62.5%,34.3%
1.24,1.9%,1.9%,55.8%,65.5%,60.9%
0.93,3.0%,2.0%,56.6%,76.8%,65.1%
0.72,3.1%,3.1%,62.5%,67.5%,50.0%
0.72,4.4%,2.6%,72.8%,67.5%,35.5%
1.13,5.3%,1.8%,64.6%,72.6%,47.5%
1.76,5.7%,3.8%,50.9%,66.7%,61.5%
0.98,8.5%,4.3%,60.6%,75.4%,51.4%
2.44,4.5%,2.3%,59.1%,84.6%,72.2%
0.81,1.7%,5.1%,49.2%,55.2%,50.0%
1.49,8.8%,2.2%,68.1%,77.4%,51.7%
1.61,1.9%,3.8%,67.9%,75.0%,58.8%
0.78,4.8%,3.2%,65.1%,53.7%,63.6%
0.72,3.3%,1.7%,65.0%,56.4%,52.4%
1.13,4.1%,4.1%,60.8%,57.8%,48.3%
0.92,4.0%,2.0%,57.6%,68.4%,47.6%
1.58,1.6%,0.0%,73.4%,78.7%,47.1%
1.45,7.4%,1.9%,77.8%,73.8%,41.7%
2.67,16.7%,3.3%,80.0%,87.5%,50.0%
1.53,20.8%,0.0%,67.9%,77.8%,58.8%
