DR,A%,DF%,1stIn,1st%,2nd%
0.93,4.9%,6.2%,54.3%,79.5%,45.9%
0.99,4.8%,7.1%,67.9%,59.6%,48.1%
0.93,0.0%,3.3%,65.9%,68.3%,32.3%
0.87,4.8%,1.2%,56.0%,74.5%,40.5%
0.93,3.0%,0.8%,69.2%,65.2%,48.8%
1.12,1.9%,2.9%,63.8%,76.1%,42.1%
1.19,7.5%,0.0%,77.6%,71.2%,53.3%
0.66,4.7%,3.1%,71.9%,67.4%,38.9%
0.40,11.5%,1.6%,65.6%,52.5%,47.6%
1.51,15.5%,2.8%,62.0%,75.0%,70.4%
0.54,1.4%,0.0%,72.6%,52.8%,60.0%
0.80,1.2%,2.5%,60.5%,69.4%,46.9%
1.10,1.0%,2.0%,67.0%,71.6%,51.5%
0.95,14.6%,6.1%,63.4%,82.7%,30.0%
1.75,12.2%,2.0%,69.4%,82.4%,60.0%
