DR,A%,DF%,1stIn,1st%,2nd%
0.53,0.0%,6.7%,73.3%,61.4%,37.5%
1.46,3.7%,0.0%,74.1%,70.0%,64.3%
0.66,5.9%,2.9%,79.4%,57.4%,57.1%
0.74,0.0%,2.4%,71.4%,63.3%,41.7%
0.61,4.2%,6.3%,75.0%,58.3%,58.3%
1.00,1.7%,1.7%,67.5%,67.1%,50.0%
0.89,2.3%,3.8%,71.2%,60.6%,52.6%
1.12,0.0%,1.5%,77.3%,70.6%,46.7%
0.60,0.0%,6.3%,68.8%,45.5%,20.0%
1.19,0.0%,0.0%,80.0%,60.0%,65.0%
0.42,2.4%,7.3%,53.7%,63.6%,57.9%
0.79,0.0%,7.6%,63.6%,54.8%,41.7%
0.44,2.0%,6.1%,63.3%,71.0%,27.8%
0.56,0.0%,5.3%,71.9%,61.0%,25.0%
