DR,A%,DF%,1stIn,1st%,2nd%
1.32,16.9%,7.7%,60.0%,76.9%,46.2%
0.79,2.5%,8.9%,51.9%,82.9%,39.5%
0.62,6.5%,16.1%,48.4%,64.4%,35.4%
0.69,4.0%,12.0%,62.7%,74.5%,39.3%
1.37,3.8%,5.0%,61.3%,73.5%,58.1%
0.59,3.2%,6.3%,61.9%,66.7%,37.5%
1.21,8.0%,13.8%,58.6%,76.5%,36.1%
1.45,15.1%,11.3%,56.6%,76.7%,52.2%
1.27,13.2%,6.6%,66.0%,81.4%,63.9%
1.02,10.0%,9.1%,51.8%,73.7%,50.9%
1.42,4.8%,7.9%,49.2%,83.9%,59.4%
1.41,12.5%,5.6%,63.9%,80.4%,46.2%
1.68,11.3%,7.5%,71.7%,92.1%,46.7%
1.54,16.0%,6.0%,64.0%,81.3%,61.1%
1.32,19.4%,6.5%,64.5%,80.0%,45.5%
1.09,11.4%,6.3%,55.7%,88.6%,54.3%
0.94,8.6%,6.5%,59.1%,76.4%,42.1%
0.89,22.2%,6.7%,63.3%,73.7%,18.2%
0.44,5.8%,11.5%,55.8%,69.0%,34.8%
0.98,13.4%,10.9%,46.2%,81.8%,39.1%
1.07,14.1%,1.2%,69.4%,71.2%,57.7%
1.43,18.0%,12.0%,54.0%,96.3%,47.8%
