DR,A%,DF%,1stIn,1st%,2nd%
1.11,13.5%,4.1%,55.4%,85.4%,33.3%
0.74,4.2%,2.8%,66.7%,68.8%,25.0%
0.56,1.6%,3.2%,60.3%,71.1%,28.0%
0.56,10.2%,5.1%,47.5%,71.4%,54.8%
1.05,16.2%,6.7%,58.1%,82.0%,45.5%
1.28,21.0%,4.8%,56.5%,82.9%,55.6%
0.66,4.1%,0.0%,63.3%,74.2%,50.0%
1.40,15.3%,5.1%,66.1%,84.6%,35.0%
0.99,5.6%,1.1%,68.5%,65.6%,57.1%
0.81,12.1%,4.0%,59.6%,78.0%,47.5%
1.11,20.5%,4.1%,54.8%,90.0%,48.5%
0.93,18.4%,6.1%,55.1%,79.6%,56.8%
1.05,12.0%,3.3%,57.6%,75.5%,51.3%
1.53,10.6%,6.1%,56.1%,86.5%,58.6%
0.72,9.4%,3.1%,68.0%,66.7%,51.2%
0.86,15.6%,3.1%,61.5%,79.7%,37.8%
2.82,14.6%,0.0%,63.4%,88.5%,73.3%
0.78,20.0%,6.4%,52.7%,86.2%,46.2%
0.62,21.6%,7.8%,58.8%,83.3%,38.1%
