DR,A%,DF%,1stIn,1st%,2nd%
0.81,2.8%,4.2%,58.3%,66.7%,43.3%
0.51,1.7%,3.4%,72.4%,47.6%,31.3%
1.29,1.1%,3.3%,71.7%,69.7%,57.7%
0.65,0.0%,5.4%,67.9%,52.6%,27.8%
1.22,0.0%,0.0%,79.7%,61.9%,62.5%
1.09,0.8%,3.3%,64.5%,61.5%,39.5%
1.45,8.3%,0.0%,71.7%,74.4%,64.7%
1.58,9.4%,0.0%,73.6%,82.1%,64.3%
0.74,1.8%,2.7%,70.3%,57.7%,48.5%
0.57,1.9%,1.9%,71.7%,52.6%,53.3%
1.01,3.2%,4.3%,62.4%,67.2%,62.9%
0.67,2.8%,2.8%,61.1%,68.2%,50.0%
1.27,0.0%,0.0%,77.6%,64.4%,35.3%
1.15,0.0%,3.2%,72.6%,71.1%,52.9%
2.56,5.1%,0.0%,61.5%,79.2%,73.3%
0.60,0.0%,1.4%,68.5%,58.0%,34.8%
1.54,0.0%,6.1%,65.3%,78.1%,52.9%
1.02,6.5%,1.9%,73.1%,73.4%,44.8%
2.00,8.7%,6.5%,65.2%,80.0%,62.5%
2.98,6.5%,2.2%,67.4%,90.3%,80.0%
