DR,A%,DF%,1stIn,1st%,2nd%
0.79,7.3%,3.6%,65.5%,58.3%,42.1%
0.92,9.7%,3.2%,61.3%,57.9%,41.7%
1.03,5.9%,14.1%,45.9%,79.5%,39.1%
1.70,0.0%,10.9%,69.6%,81.3%,42.9%
1.38,10.8%,6.2%,64.6%,73.8%,60.9%
3.26,0.0%,0.0%,52.9%,83.3%,81.3%
1.41,8.9%,7.1%,50.0%,85.7%,53.6%
1.38,9.1%,4.5%,69.3%,65.6%,55.6%
1.40,10.7%,3.6%,62.5%,71.4%,66.7%
0.78,11.1%,2.8%,63.0%,66.2%,52.5%
1.39,3.6%,7.3%,72.7%,75.0%,46.7%
0.76,1.9%,18.5%,59.3%,56.3%,31.8%
0.37,7.3%,9.8%,68.3%,64.3%,23.1%
1.25,6.4%,9.6%,62.8%,79.7%,57.1%
1.17,5.6%,2.8%,76.4%,72.7%,47.1%
1.41,8.8%,1.8%,75.4%,81.4%,42.9%
1.04,3.8%,6.4%,64.1%,70.0%,50.0%
1.32,7.9%,6.3%,61.9%,74.4%,50.0%
0.90,2.7%,4.0%,58.7%,75.0%,51.6%
2.07,8.9%,4.4%,80.0%,83.3%,66.7%
1.96,4.5%,11.4%,59.1%,76.9%,55.6%
1.07,6.4%,8.5%,71.3%,79.1%,33.3%
