DR,A%,DF%,1stIn,1st%,2nd%
0.78,6.3%,5.0%,61.3%,67.3%,51.6%
0.55,5.3%,3.5%,61.4%,80.0%,54.5%
1.10,12.2%,1.2%,58.5%,85.4%,55.9%
2.02,17.9%,4.5%,49.3%,93.9%,67.6%
0.46,19.1%,3.4%,69.7%,75.8%,37.0%
1.33,10.0%,2.5%,61.3%,79.6%,54.8%
0.48,7.4%,5.6%,61.1%,57.6%,33.3%
0.54,32.2%,3.4%,74.6%,77.3%,40.0%
1.12,22.6%,4.3%,67.7%,76.2%,66.7%
1.38,22.7%,7.6%,63.6%,92.9%,54.2%
0.72,19.7%,3.9%,60.5%,76.1%,43.3%
0.86,21.3%,2.5%,63.9%,71.8%,52.3%
0.76,19.0%,7.9%,63.5%,77.5%,30.4%
0.45,16.2%,5.7%,55.2%,72.4%,44.7%
1.21,19.4%,3.0%,64.2%,81.4%,66.7%
0.64,11.5%,2.6%,64.1%,66.0%,53.6%
0.96,17.5%,1.9%,56.3%,81.0%,55.6%
1.33,28.6%,0.0%,65.1%,82.9%,68.2%
0.95,23.1%,9.2%,66.5%,88.7%,41.4%
1.04,23.8%,3.1%,71.9%,73.9%,33.3%
