DR,A%,DF%,1stIn,1st%,2nd%
0.92,1.1%,6.7%,53.9%,62.5%,46.3%
1.16,1.0%,5.1%,48.5%,70.8%,56.9%
0.86,1.2%,1.2%,67.4%,55.2%,46.4%
1.13,2.0%,2.0%,64.3%,65.1%,51.4%
1.10,14.3%,1.3%,61.0%,76.6%,56.7%
0.63,3.2%,8.1%,45.2%,75.0%,47.1%
1.04,12.9%,3.5%,57.6%,81.6%,52.8%
1.95,8.3%,6.3%,58.3%,92.9%,55.0%
0.76,5.3%,6.6%,57.9%,68.2%,43.8%
0.79,9.7%,2.8%,62.5%,68.9%,44.4%
2.15,8.6%,5.7%,54.3%,94.7%,43.8%
0.94,3.2%,2.4%,59.2%,77.0%,51.0%
1.19,15.6%,4.4%,61.1%,89.1%,57.1%
0.92,0.0%,6.5%,47.8%,68.2%,66.7%
0.73,1.8%,4.6%,56.9%,67.7%,38.3%
1.30,8.6%,0.0%,58.6%,82.9%,62.1%
