DR,A%,DF%,1stIn,1st%,2nd%
1.04,1.1%,1.1%,63.2%,63.3%,60.0%
0.96,1.1%,1.1%,60.9%,60.4%,55.9%
0.75,2.3%,2.3%,60.2%,66.0%,51.4%
1.00,2.9%,1.0%,62.9%,66.7%,35.9%
1.15,6.6%,4.7%,65.1%,71.0%,56.8%
0.88,1.0%,4.1%,56.1%,63.6%,51.2%
0.70,3.5%,4.7%,58.8%,60.0%,48.6%
0.38,3.2%,1.6%,68.3%,67.4%,35.0%
1.05,4.2%,2.1%,70.5%,65.7%,46.4%
0.85,2.2%,1.1%,59.6%,60.4%,52.8%
1.05,3.5%,1.2%,60.0%,72.5%,58.8%
0.73,6.3%,0.0%,63.5%,60.0%,47.8%
1.36,2.1%,2.1%,72.9%,62.9%,46.2%
0.33,0.0%,6.3%,57.0%,53.3%,41.2%
0.38,4.2%,2.1%,60.4%,44.8%,36.8%
