DR,A%,DF%,1stIn,1st%,2nd%
0.59,0.0%,0.0%,52.8%,64.3%,44.0%
1.29,1.3%,2.6%,68.4%,63.5%,54.2%
0.49,2.0%,2.0%,58.8%,60.0%,38.1%
1.01,2.4%,0.0%,64.7%,63.6%,43.3%
0.88,0.0%,1.0%,66.0%,65.6%,57.6%
0.34,0.0%,2.0%,60.8%,48.4%,45.0%
1.56,5.2%,3.4%,72.4%,73.8%,50.0%
0.90,0.0%,0.0%,63.0%,64.7%,63.3%
1.01,1.8%,4.4%,54.9%,54.8%,54.9%
0.92,1.4%,1.4%,74.6%,71.7%,38.9%
1.04,2.0%,2.0%,59.8%,60.7%,56.1%
0.90,5.8%,5.8%,71.0%,79.6%,40.0%
0.92,8.6%,2.6%,75.0%,71.3%,34.5%
0.77,1.3%,2.6%,55.8%,72.1%,44.1%
0.67,1.5%,3.0%,57.6%,55.3%,39.3%
