DR,A%,DF%,1stIn,1st%,2nd%
1.71,2.1%,2.1%,78.7%,73.0%,70.0%
1.42,0.0%,5.8%,73.1%,73.7%,35.7%
0.89,1.0%,3.1%,64.6%,59.7%,50.0%
1.33,0.0%,1.7%,67.2%,64.1%,52.6%
1.17,2.3%,2.3%,65.1%,62.5%,53.3%
1.03,0.0%,3.3%,61.1%,50.9%,65.7%
0.91,1.4%,6.8%,60.3%,59.1%,44.8%
1.10,1.9%,7.4%,63.0%,69.1%,50.0%
1.62,0.0%,2.1%,64.6%,67.7%,58.8%
1.83,7.0%,0.0%,62.8%,77.8%,56.3%
1.00,0.9%,8.1%,55.9%,64.5%,46.9%
0.79,3.8%,5.1%,57.7%,62.2%,48.5%
1.17,2.6%,10.3%,53.8%,59.5%,52.8%
1.25,1.4%,7.2%,55.1%,71.1%,45.2%
0.74,5.2%,3.4%,58.6%,58.8%,41.7%
1.34,8.1%,2.7%,55.4%,70.7%,54.5%
1.54,6.0%,6.0%,66.0%,81.8%,52.9%
0.58,1.2%,9.8%,56.1%,60.9%,47.2%
0.94,2.2%,8.6%,55.9%,61.5%,46.3%
1.04,0.0%,7.9%,61.4%,61.3%,46.2%
