DR,A%,DF%,1stIn,1st%,2nd%
0.75,1.3%,2.6%,68.4%,61.5%,58.3%
0.61,3.1%,3.1%,61.5%,70.0%,44.0%
0.71,4.7%,1.2%,65.9%,51.8%,55.2%
1.33,7.3%,2.4%,65.9%,63.0%,57.1%
1.01,1.7%,0.0%,71.3%,61.0%,54.5%
0.98,5.6%,0.0%,61.1%,59.1%,64.3%
0.91,10.0%,0.0%,72.0%,80.6%,57.1%
1.27,7.5%,4.3%,64.5%,85.0%,48.5%
0.93,11.8%,2.0%,71.6%,71.2%,41.4%
0.88,0.0%,2.5%,66.7%,64.8%,37.0%
1.81,10.9%,5.5%,70.9%,84.6%,56.3%
0.89,2.0%,7.0%,57.0%,59.6%,46.5%
1.32,3.2%,6.3%,69.8%,77.3%,52.6%
1.09,8.7%,6.1%,55.7%,78.1%,58.8%
1.40,15.6%,6.3%,57.8%,89.2%,51.9%
1.11,9.9%,6.9%,57.4%,75.9%,55.8%
0.79,9.5%,0.0%,68.3%,55.8%,55.0%
0.99,10.8%,1.5%,70.0%,64.8%,46.2%
1.00,15.7%,6.0%,63.9%,69.8%,43.3%
