DR,A%,DF%,1stIn,1st%,2nd%
0.98,2.2%,2.2%,70.3%,62.5%,51.9%
0.85,0.0%,1.4%,73.6%,49.1%,63.2%
0.89,1.4%,1.4%,75.3%,58.2%,38.9%
1.27,1.6%,0.0%,83.6%,60.8%,50.0%
0.92,2.6%,2.6%,69.2%,55.6%,37.5%
0.94,1.4%,0.0%,83.8%,53.2%,75.0%
1.38,1.6%,0.0%,79.0%,67.3%,53.8%
1.15,2.2%,0.0%,70.0%,63.5%,59.3%
1.06,1.1%,3.3%,72.8%,68.7%,48.0%
0.66,0.0%,2.0%,78.4%,62.5%,54.5%
0.85,0.0%,3.4%,62.9%,57.1%,39.4%
1.02,0.0%,3.1%,67.7%,64.6%,51.6%
1.18,2.7%,4.0%,68.0%,66.7%,54.2%
1.14,3.0%,0.0%,65.2%,58.1%,39.1%
1.12,1.0%,2.0%,70.0%,67.1%,56.7%
1.45,6.4%,0.0%,70.2%,72.7%,50.0%
1.37,10.8%,0.0%,75.4%,63.3%,68.8%
1.45,3.5%,3.5%,77.2%,65.9%,53.8%
0.95,0.0%,3.4%,69.3%,62.3%,40.7%
1.37,3.2%,3.2%,71.4%,62.2%,77.8%
