DR,A%,DF%,1stIn,1st%,2nd%
0.71,9.3%,1.9%,66.7%,58.3%,44.4%
1.44,6.2%,0.0%,60.0%,76.9%,65.4%
0.74,3.8%,3.8%,59.6%,67.7%,38.1%
1.32,9.0%,3.8%,56.4%,81.8%,52.9%
0.81,6.5%,2.6%,57.1%,75.0%,60.6%
1.22,6.7%,2.7%,69.3%,69.2%,65.2%
0.73,7.4%,1.5%,70.6%,64.6%,70.0%
0.67,12.5%,0.0%,66.1%,70.3%,68.4%
0.97,7.2%,3.6%,59.0%,79.6%,44.1%
1.13,10.8%,2.7%,60.8%,75.6%,48.3%
1.25,8.8%,3.5%,63.2%,75.0%,47.6%
0.81,4.5%,2.2%,61.8%,69.1%,52.9%
1.05,10.5%,3.8%,65.7%,72.5%,55.6%
1.09,16.0%,3.1%,61.8%,75.3%,58.0%
0.93,6.2%,2.7%,60.2%,64.7%,55.6%
0.58,8.6%,4.9%,61.7%,70.0%,35.5%
1.18,19.1%,4.4%,64.7%,84.1%,58.3%
1.33,11.6%,2.9%,62.3%,86.0%,34.6%
0.76,6.7%,4.5%,57.3%,54.9%,52.6%
1.56,3.5%,2.4%,57.6%,77.6%,55.6%
