DR,A%,DF%,1stIn,1st%,2nd%
0.64,7.8%,0.0%,52.9%,70.4%,45.8%
1.06,6.8%,1.1%,47.7%,83.3%,58.7%
2.32,12.0%,8.0%,48.0%,91.7%,69.2%
1.41,20.9%,0.0%,64.2%,76.7%,66.7%
1.03,14.9%,0.0%,52.2%,82.9%,50.0%
0.89,8.1%,3.2%,61.3%,81.6%,41.7%
1.23,8.6%,1.4%,50.0%,80.0%,57.1%
0.72,5.7%,2.3%,59.1%,67.3%,47.2%
1.12,5.2%,4.2%,56.3%,74.1%,61.9%
0.86,1.5%,7.6%,51.5%,61.8%,46.9%
1.39,5.1%,3.8%,50.6%,80.0%,41.0%
1.71,9.1%,6.1%,54.5%,77.8%,53.3%
0.79,3.3%,5.6%,54.4%,59.2%,51.2%
1.25,16.5%,3.8%,57.0%,77.8%,35.3%
0.98,3.1%,2.0%,50.0%,67.3%,46.9%
0.74,4.9%,4.9%,51.6%,71.4%,27.1%
0.83,9.8%,7.3%,54.5%,70.1%,44.6%
0.52,0.0%,0.0%,98.3%,49.1%,100.0%
1.35,9.7%,1.6%,43.5%,81.5%,54.3%
0.98,10.9%,2.2%,51.1%,72.3%,48.9%
