DR,A%,DF%,1stIn,1st%,2nd%
0.66,0.0%,0.0%,74.2%,47.8%,68.8%
1.20,3.1%,1.6%,65.6%,64.3%,77.3%
0.64,4.1%,6.1%,49.0%,75.0%,32.0%
0.89,4.5%,1.5%,54.5%,55.6%,40.0%
1.01,9.8%,0.9%,71.4%,63.7%,50.0%
0.65,9.5%,4.8%,58.3%,69.4%,42.9%
1.23,9.9%,5.0%,51.5%,65.4%,63.3%
2.32,4.7%,7.0%,48.8%,81.0%,72.7%
1.10,5.4%,6.3%,55.9%,66.1%,57.1%
0.94,4.2%,3.1%,62.5%,68.3%,44.4%
1.06,5.5%,4.5%,60.9%,62.7%,55.8%
0.61,0.0%,6.3%,54.0%,70.6%,34.5%
1.49,9.9%,2.8%,63.4%,77.8%,61.5%
4.59,15.6%,0.0%,56.3%,88.9%,85.7%
0.70,3.5%,8.8%,50.9%,65.5%,50.0%
1.83,12.2%,2.0%,65.3%,78.1%,76.5%
0.89,6.7%,1.1%,61.8%,72.7%,64.7%
1.17,9.2%,1.5%,64.6%,71.4%,56.5%
1.24,7.8%,3.1%,59.4%,68.4%,65.4%
