DR,A%,DF%,1stIn,1st%,2nd%
1.02,2.4%,3.6%,67.9%,63.2%,48.1%
0.90,1.1%,8.9%,58.9%,58.5%,43.2%
0.62,0.0%,9.3%,50.0%,44.4%,40.7%
1.31,5.6%,7.0%,56.3%,70.0%,48.4%
0.78,1.4%,6.8%,50.0%,67.6%,27.0%
1.05,0.0%,8.7%,55.4%,56.9%,48.8%
0.83,1.9%,8.3%,51.9%,69.6%,42.3%
0.95,1.2%,3.5%,60.0%,64.7%,44.1%
1.28,5.5%,2.7%,64.4%,72.3%,61.5%
0.79,1.7%,6.8%,52.5%,67.7%,28.6%
1.05,1.0%,5.7%,52.4%,78.2%,36.0%
1.29,7.4%,0.0%,63.2%,79.1%,60.0%
1.34,3.8%,2.5%,53.8%,67.4%,54.1%
1.17,9.1%,5.2%,63.6%,73.5%,50.0%
0.96,5.6%,1.4%,66.2%,70.2%,54.2%
0.83,1.6%,6.3%,65.1%,61.0%,22.7%
1.26,2.9%,1.4%,66.7%,71.7%,52.2%
1.48,3.3%,3.3%,58.3%,74.3%,64.0%
0.90,0.0%,1.0%,56.9%,55.2%,47.7%
1.22,1.7%,6.8%,59.3%,77.1%,41.7%
1.57,4.6%,4.6%,56.9%,67.6%,57.1%
