DR,A%,DF%,1stIn,1st%,2nd%
0.75,8.2%,1.4%,60.3%,63.6%,41.4%
0.86,9.1%,0.9%,58.2%,73.4%,52.2%
1.11,8.5%,5.6%,46.5%,81.8%,52.6%
1.37,11.8%,2.9%,58.8%,80.0%,50.0%
1.21,3.9%,1.3%,71.4%,67.3%,72.7%
1.31,5.6%,5.6%,53.7%,72.4%,48.0%
0.66,0.0%,7.0%,40.4%,65.2%,38.2%
1.02,7.0%,3.5%,59.1%,61.8%,51.1%
0.84,3.1%,3.1%,56.7%,56.4%,50.0%
1.00,5.4%,0.8%,63.8%,67.5%,44.7%
0.69,6.9%,1.7%,51.7%,63.3%,46.4%
1.30,6.3%,1.6%,38.1%,66.7%,53.8%
1.88,7.0%,9.3%,51.2%,90.9%,57.1%
1.16,4.7%,2.3%,51.2%,81.8%,54.8%
1.42,7.5%,0.0%,68.7%,82.6%,61.9%
0.72,10.3%,2.6%,50.9%,69.5%,54.4%
0.75,3.8%,3.8%,51.9%,70.9%,33.3%
0.70,12.5%,1.6%,51.6%,72.7%,45.2%
