DR,A%,DF%,1stIn,1st%,2nd%
0.87,6.6%,5.3%,60.5%,69.6%,46.7%
1.61,14.0%,5.3%,63.2%,80.6%,57.1%
0.85,1.3%,7.6%,57.0%,77.8%,44.1%
1.02,6.3%,3.1%,62.5%,75.0%,38.9%
0.48,0.0%,10.0%,50.0%,40.0%,20.0%
1.23,1.5%,4.5%,56.7%,73.7%,75.9%
2.07,4.2%,2.1%,50.0%,75.0%,75.0%
0.98,1.2%,8.2%,49.4%,66.7%,53.5%
1.55,5.4%,3.6%,57.1%,71.9%,45.8%
1.22,7.3%,2.4%,48.8%,80.0%,59.5%
0.89,8.6%,1.7%,60.3%,71.4%,43.5%
1.17,10.5%,3.5%,68.6%,74.6%,63.0%
0.69,3.3%,1.6%,60.7%,59.5%,54.2%
2.33,0.0%,4.5%,59.1%,92.3%,66.7%
1.88,8.2%,2.0%,69.4%,76.5%,80.0%
1.21,6.1%,6.1%,63.6%,83.3%,37.5%
1.77,14.0%,4.0%,64.0%,90.6%,61.1%
0.74,8.3%,2.4%,65.5%,81.8%,51.7%
1.03,7.1%,7.1%,61.6%,80.3%,44.7%
1.72,5.0%,1.7%,70.0%,81.0%,72.2%
