DR,A%,DF%,1stIn,1st%,2nd%
0.52,3.8%,1.9%,62.3%,54.5%,50.0%
1.64,21.9%,1.4%,74.0%,79.6%,42.1%
0.67,6.0%,4.0%,76.0%,71.1%,50.0%
1.95,10.4%,6.3%,72.9%,91.4%,38.5%
0.85,1.7%,2.5%,61.2%,70.3%,53.2%
1.32,18.5%,1.5%,69.2%,73.3%,75.0%
1.53,13.5%,1.9%,71.2%,78.4%,60.0%
0.78,5.0%,5.8%,62.5%,73.3%,40.0%
1.02,12.3%,7.4%,63.0%,76.5%,60.0%
1.21,13.3%,1.3%,60.0%,84.4%,53.3%
1.48,8.1%,1.6%,56.5%,77.1%,66.7%
1.02,12.0%,4.6%,65.7%,77.5%,45.9%
0.66,3.2%,3.2%,63.2%,63.3%,28.6%
1.78,4.9%,0.0%,68.9%,81.0%,68.4%
1.34,16.7%,1.7%,53.3%,81.3%,75.0%
0.91,7.4%,6.7%,66.7%,70.0%,42.2%
1.10,12.1%,6.1%,59.6%,78.0%,57.5%
0.57,9.2%,1.5%,69.2%,71.1%,50.0%
0.88,4.5%,0.9%,72.3%,67.9%,51.6%
1.07,14.0%,2.2%,66.7%,75.8%,48.4%
0.92,13.1%,3.8%,70.8%,72.8%,52.6%
