DR,A%,DF%,1stIn,1st%,2nd%
0.76,1.4%,4.1%,61.6%,53.3%,53.6%
0.66,2.5%,3.3%,64.2%,58.4%,48.8%
0.44,0.0%,2.3%,46.5%,50.0%,21.7%
0.61,6.8%,6.8%,54.2%,65.6%,44.4%
0.57,1.5%,1.5%,54.5%,66.7%,53.3%
0.62,3.6%,1.2%,66.3%,61.8%,42.9%
0.57,7.3%,7.3%,56.1%,69.6%,44.4%
2.16,8.5%,2.1%,53.2%,76.0%,72.7%
0.72,2.9%,3.8%,53.8%,67.9%,39.6%
0.71,2.9%,4.8%,54.8%,56.1%,55.3%
1.07,1.9%,2.9%,56.3%,77.6%,57.8%
1.68,9.4%,5.7%,62.3%,84.8%,65.0%
0.74,3.4%,5.2%,70.7%,68.3%,23.5%
0.65,1.6%,0.0%,69.5%,60.7%,56.4%
1.42,7.5%,7.5%,60.4%,71.9%,57.1%
