DR,A%,DF%,1stIn,1st%,2nd%
0.89,5.6%,2.8%,60.6%,72.1%,42.9%
0.90,9.7%,0.0%,66.1%,65.9%,57.1%
0.86,8.7%,1.4%,65.2%,75.6%,50.0%
1.44,9.3%,0.0%,57.4%,87.1%,39.1%
0.84,12.3%,2.6%,69.3%,79.7%,45.7%
1.36,15.7%,2.9%,76.5%,79.5%,62.5%
1.01,7.0%,0.0%,77.2%,54.5%,69.2%
1.59,15.3%,1.7%,64.4%,84.2%,57.1%
1.73,14.5%,0.0%,62.9%,82.1%,69.6%
0.79,10.5%,0.0%,70.2%,75.0%,47.1%
1.36,15.0%,3.8%,61.3%,79.6%,45.2%
1.34,7.8%,1.6%,60.9%,89.7%,40.0%
1.02,16.9%,3.9%,63.6%,69.4%,50.0%
1.84,29.5%,1.6%,65.6%,85.0%,71.4%
1.09,11.0%,3.7%,70.7%,77.6%,50.0%
2.65,25.6%,0.0%,67.4%,93.1%,64.3%
0.75,9.2%,0.0%,66.9%,74.7%,58.1%
2.12,13.3%,1.7%,66.7%,80.0%,60.0%
2.16,10.0%,1.4%,67.1%,83.0%,60.9%
1.00,13.5%,3.1%,64.6%,82.3%,58.8%
1.11,19.0%,3.8%,72.2%,75.4%,40.9%
4.13,18.2%,2.3%,75.0%,90.9%,90.9%
0.82,14.1%,1.1%,63.0%,72.4%,47.1%
1.46,8.9%,1.8%,50.0%,78.6%,60.7%
