DR,A%,DF%,1stIn,1st%,2nd%
0.60,3.0%,1.5%,47.0%,64.5%,45.7%
1.34,15.1%,7.5%,54.7%,79.3%,54.2%
1.28,10.9%,0.0%,53.1%,79.4%,53.3%
1.23,5.5%,2.2%,65.9%,78.3%,45.2%
1.48,15.0%,1.7%,65.0%,82.1%,61.9%
1.50,11.3%,7.5%,49.1%,88.5%,55.6%
0.99,8.7%,2.9%,60.2%,64.5%,58.5%
1.23,15.5%,5.6%,54.9%,79.5%,59.4%
1.77,15.1%,1.4%,56.2%,82.9%,68.8%
0.93,3.8%,3.8%,55.8%,72.4%,30.4%
1.51,14.3%,1.8%,57.1%,78.1%,62.5%
1.19,9.9%,2.2%,61.5%,67.9%,65.7%
0.87,10.1%,5.6%,49.4%,81.8%,44.4%
1.05,8.9%,3.3%,56.7%,68.6%,53.8%
1.39,3.8%,7.5%,60.0%,87.5%,53.1%
0.83,9.1%,10.7%,48.8%,83.1%,50.0%
0.84,1.3%,9.2%,64.5%,73.5%,33.3%
1.27,3.8%,2.6%,53.8%,71.4%,63.9%
1.05,14.7%,4.2%,64.2%,70.5%,55.9%
