DR,A%,DF%,1stIn,1st%,2nd%
0.85,6.7%,2.4%,70.1%,74.8%,38.8%
1.01,14.6%,0.6%,67.1%,71.7%,34.6%
0.84,20.0%,3.5%,71.3%,74.4%,54.5%
1.15,17.0%,3.4%,68.2%,73.3%,50.0%
0.76,11.8%,3.9%,58.8%,78.3%,47.6%
1.29,18.6%,1.0%,68.0%,83.3%,51.6%
2.67,27.0%,0.0%,83.8%,83.9%,50.0%
1.43,19.0%,1.6%,74.6%,83.0%,50.0%
2.24,30.3%,0.0%,63.6%,85.7%,50.0%
1.36,20.3%,4.1%,58.1%,76.7%,54.8%
2.42,27.1%,4.2%,66.7%,90.6%,68.8%
0.70,7.3%,1.8%,63.6%,68.6%,40.0%
1.51,22.6%,3.6%,67.9%,82.5%,55.6%
0.95,9.2%,3.4%,55.2%,81.3%,59.0%
0.68,8.8%,5.3%,44.7%,84.3%,41.3%
1.14,12.1%,5.0%,48.9%,78.3%,56.9%
1.01,16.3%,3.3%,65.2%,80.0%,56.3%
1.30,7.3%,7.3%,63.6%,77.1%,45.0%
1.13,18.3%,7.7%,60.6%,84.1%,34.1%
1.06,10.0%,6.3%,57.5%,73.9%,58.8%
