DR,A%,DF%,1stIn,1st%,2nd%
1.24,9.3%,1.3%,56.0%,71.4%,57.6%
0.81,4.0%,4.0%,58.7%,61.4%,45.2%
0.91,4.0%,5.0%,56.4%,68.4%,45.5%
1.40,11.1%,5.6%,66.7%,79.2%,54.2%
1.16,5.0%,3.8%,61.3%,77.6%,51.6%
1.02,5.2%,1.7%,70.7%,65.9%,58.8%
0.85,6.5%,10.2%,46.3%,80.0%,41.4%
0.87,1.1%,2.2%,57.8%,69.2%,34.2%
0.70,6.7%,6.7%,48.9%,63.6%,56.5%
1.05,9.6%,4.8%,50.0%,80.8%,61.5%
2.00,23.3%,5.0%,71.7%,88.4%,64.7%
0.99,7.9%,1.0%,67.3%,72.1%,45.5%
1.33,13.9%,1.3%,63.3%,74.0%,58.6%
1.76,11.3%,1.9%,52.8%,78.6%,72.0%
1.40,11.7%,0.0%,60.0%,75.0%,62.5%
1.92,6.7%,4.4%,57.8%,76.9%,63.2%
1.27,3.8%,0.0%,76.9%,75.0%,41.7%
1.25,10.5%,1.8%,61.4%,71.4%,54.5%
1.21,1.7%,1.7%,69.0%,55.0%,72.2%
0.96,10.1%,3.0%,58.6%,72.4%,63.4%
