DR,A%,DF%,1stIn,1st%,2nd%
0.64,10.7%,0.0%,58.9%,60.6%,39.1%
0.86,3.7%,2.8%,63.3%,60.9%,50.0%
0.76,0.0%,8.3%,55.0%,51.5%,44.4%
1.07,5.5%,1.8%,65.1%,77.5%,50.0%
1.87,15.4%,3.8%,50.0%,88.5%,65.4%
0.93,2.4%,2.4%,57.8%,64.6%,48.6%
0.69,1.9%,0.0%,64.2%,67.6%,52.6%
1.20,7.4%,1.2%,60.5%,69.4%,53.1%
1.21,5.9%,2.9%,61.8%,73.8%,42.3%
1.22,6.3%,6.3%,66.7%,70.3%,46.9%
1.00,4.9%,3.3%,65.6%,65.0%,52.4%
0.84,0.0%,3.4%,55.9%,72.7%,46.2%
1.16,2.8%,5.6%,60.6%,67.4%,53.6%
1.24,6.8%,6.8%,59.5%,77.3%,50.0%
1.40,3.2%,3.2%,58.7%,81.1%,50.0%
1.13,8.1%,6.1%,58.6%,86.2%,56.1%
0.77,1.3%,3.8%,60.0%,75.0%,46.9%
1.83,16.9%,3.4%,62.7%,81.1%,72.7%
1.24,7.1%,1.4%,70.0%,71.4%,61.9%
0.90,4.8%,3.8%,63.5%,72.7%,52.6%
0.95,3.0%,9.0%,63.0%,66.7%,45.9%
